년,월,국적지역,체류외국인수
2022,04,베냉,26
2022,04,베네수엘라,221
2022,04,베트남,206518
2022,04,벨기에,672
2022,04,벨로루시,305
2022,04,벨리즈,9
2022,04,보스니아헤르체고비나,11
2022,04,보츠와나,21
2022,04,볼리비아,72
2022,04,부룬디,163
2022,04,부르키나파소,50
2022,04,부베트,1
2022,04,부탄,40
2022,04,북마케도니아,14
2022,04,불가리아,173
2022,04,브라질,1863
2022,04,브루나이,122
2022,04,사모아,5
2022,04,사우디아라비아,912
2022,04,산마리노,1
2022,04,상투메프린시페,2
2022,04,세네갈,329
2022,04,세르비아,91
2022,04,세르비아몬테네그로,1
2022,04,세이셸,3
2022,04,세인트루시아,2
2022,04,세인트빈센트그레나딘,1
2022,04,세인트크리스토퍼네비스,20
2022,04,소말리아,24
2022,04,솔로몬군도,8
2022,04,수단,293
2022,04,수리남,6
2022,04,스리랑카,20182
2022,04,스발바르,1
2022,04,스웨덴,881
2022,04,스위스,719
2022,04,스페인,1679
2022,04,슬로바크,113
2022,04,슬로베니아,67
2022,04,시리아,1563
2022,04,시에라리온,92
2022,04,싱가포르,2506
2022,04,아랍에미리트연합,580
2022,04,아르메니아,73
2022,04,아르헨티나,513
2022,04,아이슬란드,18
2022,04,아이티,100
2022,04,아일랜드,778
2022,04,아제르바이잔,272
2022,04,아프가니스탄,855
2022,04,안도라,3
2022,04,알바니아,46
2022,04,알제리,471
2022,04,앙골라,150
2022,04,앤티카바부다,1
2022,04,에리트레아,15
2022,04,에스와티니,23
2022,04,에스토니아,66
2022,04,에콰도르,298
2022,04,에티오피아,1074
2022,04,엘살바도르,65
2022,04,영국,7203
2022,04,영국속령지시민,1
2022,04,영국외지민,80
2022,04,영국외지시민,1
2022,04,예멘공화국,1094
2022,04,오만,56
2022,04,오스트레일리아,8630
2022,04,오스트리아,440
2022,04,온두라스,77
2022,04,요르단,512
2022,04,우간다,523
2022,04,우루과이,46
2022,04,우즈베키스탄,67159
2022,04,우크라이나,4238
2022,04,유고슬라비아,1
2022,04,이라크,596
2022,04,이란,1938
2022,04,이스라엘,283
2022,04,이집트,2820
2022,04,이탈리아,1531
2022,04,인도,11987
2022,04,인도네시아,36064
2022,04,일본,29694
2022,04,자메이카,61
2022,04,자이르,7
2022,04,잠비아,107
2022,04,적도기니,9
2022,04,조지아,100
2022,04,중국,224295
2022,04,중앙아프리카공화국,10
2022,04,지부티,5
2022,04,짐바브웨,120
2022,04,차드,11
2022,04,체코,271
2022,04,칠레,346
2022,04,카메룬,856
2022,04,카보베르데,1
2022,04,카자흐스탄,29402
2022,04,카타르,47
2022,04,캄보디아,42122
2022,04,캐나다,25091
2022,04,케냐,430
2022,04,코모로,5
2022,04,코소보,6
2022,04,코스타리카,107
2022,04,코트디부아르,211
2022,04,콜롬비아,601
2022,04,콩고,36
2022,04,콩고민주공화국,268
2022,04,쿠바,38
2022,04,쿠웨이트,65
2022,04,크로아티아,122
2022,04,키르기즈,6710
2022,04,키리바시,1
2022,04,키프로스,33
2022,04,태국,171962
2022,04,타이완,18782
2022,04,타지키스탄,1391
2022,04,탄자니아,335
2022,04,터키,2638
2022,04,토고,47
2022,04,통가,5
2022,04,투르크메니스탄,438
2022,04,튀니지,350
2022,04,트리니다드토바고,24
2022,04,티모르민주공화국,2675
