대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8,E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
유럽주,폴란드,여성,18,3,203,0,0,0,6,0,102,0,25,1,7,1,2,0,2,1,0,4,0,0,18,9,0,0,0,5,15,14,2,9,133,1,45,0,0,4
유럽주,스위스,남성,20,3,238,0,0,0,0,0,74,0,3,0,0,0,9,0,3,1,0,0,0,3,1,12,0,0,0,6,9,9,22,8,55,0,0,0,0,0
유럽주,스위스,여성,8,3,243,0,0,0,1,0,69,0,24,0,0,1,2,0,1,1,0,1,0,0,1,5,0,0,0,0,5,17,89,6,25,0,0,0,0,0
유럽주,벨기에,남성,16,5,135,2,0,0,5,0,42,0,2,0,0,5,14,10,1,8,0,0,4,5,5,10,0,0,0,2,5,18,25,13,44,1,16,0,2,0
유럽주,벨기에,여성,13,5,124,0,0,0,1,0,81,0,21,0,2,0,1,1,3,1,0,0,1,0,14,5,0,0,0,0,7,26,19,6,34,0,33,0,0,4
유럽주,아일랜드,남성,7,2,96,0,0,0,3,0,19,0,0,0,6,1,7,6,2,14,86,0,1,1,3,26,0,0,0,0,19,13,11,25,144,0,1,0,0,0
유럽주,아일랜드,여성,7,0,63,0,0,0,1,0,22,0,4,0,0,0,0,0,1,3,116,0,0,0,1,13,0,0,0,0,6,14,6,2,24,0,1,0,0,1
유럽주,덴마크,남성,23,5,110,1,0,1,6,0,60,0,3,0,0,1,36,14,2,1,0,2,1,1,1,14,0,0,0,1,2,21,15,4,30,1,10,0,0,1
유럽주,덴마크,여성,19,3,89,0,0,0,2,0,67,0,7,0,3,0,2,0,1,0,0,0,1,0,1,4,0,0,0,3,2,28,24,1,13,0,12,0,0,0
유럽주,오스트리아,남성,9,2,125,0,0,0,0,0,19,0,3,0,2,3,8,3,1,3,0,0,3,3,3,7,0,0,0,1,4,0,26,14,23,0,1,0,0,0
유럽주,오스트리아,여성,11,1,155,0,0,0,0,0,40,0,6,0,2,0,1,0,4,0,0,0,0,0,3,4,0,0,0,0,1,5,46,11,19,0,19,0,0,1
