국적,연령대,값,데이터기준일자
벨기에,35-39세,0,2026-05-31
벨기에,40-44세,0,2026-05-31
벨기에,45-49세,0,2026-05-31
벨기에,50-54세,0,2026-05-31
벨기에,55-59세,1,2026-05-31
벨기에,60-64세,0,2026-05-31
벨기에,65-69세,1,2026-05-31
벨기에,70-74세,0,2026-05-31
벨기에,75-79세,0,2026-05-31
벨기에,80-84세,0,2026-05-31
벨기에,85-89세,0,2026-05-31
벨기에,90-94세,0,2026-05-31
벨라루스,0-4세,0,2026-05-31
벨라루스,05-09세,0,2026-05-31
벨라루스,10-14세,0,2026-05-31
벨라루스,15-19세,0,2026-05-31
벨라루스,20-24세,0,2026-05-31
벨라루스,25-29세,0,2026-05-31
벨라루스,30-34세,1,2026-05-31
벨라루스,35-39세,0,2026-05-31
벨라루스,40-44세,0,2026-05-31
벨라루스,45-49세,0,2026-05-31
벨라루스,50-54세,0,2026-05-31
벨라루스,55-59세,0,2026-05-31
벨라루스,60-64세,0,2026-05-31
벨라루스,65-69세,0,2026-05-31
벨라루스,70-74세,0,2026-05-31
벨라루스,75-79세,0,2026-05-31
벨라루스,80-84세,0,2026-05-31
벨라루스,85-89세,0,2026-05-31
벨라루스,90-94세,0,2026-05-31
부룬디,0-4세,1,2026-05-31
부룬디,05-09세,1,2026-05-31
부룬디,10-14세,0,2026-05-31
부룬디,15-19세,0,2026-05-31
부룬디,20-24세,0,2026-05-31
부룬디,25-29세,2,2026-05-31
부룬디,30-34세,3,2026-05-31
부룬디,35-39세,2,2026-05-31
부룬디,40-44세,0,2026-05-31
부룬디,45-49세,1,2026-05-31
부룬디,50-54세,0,2026-05-31
부룬디,55-59세,0,2026-05-31
부룬디,60-64세,0,2026-05-31
부룬디,65-69세,0,2026-05-31
부룬디,70-74세,0,2026-05-31
부룬디,75-79세,0,2026-05-31
부룬디,80-84세,0,2026-05-31
부룬디,85-89세,0,2026-05-31
부룬디,90-94세,0,2026-05-31
불가리아,0-4세,0,2026-05-31
불가리아,05-09세,0,2026-05-31
불가리아,10-14세,0,2026-05-31
불가리아,15-19세,0,2026-05-31
불가리아,20-24세,0,2026-05-31
불가리아,25-29세,0,2026-05-31
불가리아,30-34세,1,2026-05-31
불가리아,35-39세,0,2026-05-31
불가리아,40-44세,0,2026-05-31
불가리아,45-49세,2,2026-05-31
불가리아,50-54세,0,2026-05-31
불가리아,55-59세,0,2026-05-31
불가리아,60-64세,0,2026-05-31
불가리아,65-69세,0,2026-05-31
불가리아,70-74세,0,2026-05-31
불가리아,75-79세,0,2026-05-31
불가리아,80-84세,0,2026-05-31
불가리아,85-89세,0,2026-05-31
불가리아,90-94세,0,2026-05-31
브라질,0-4세,0,2026-05-31
브라질,05-09세,0,2026-05-31
브라질,10-14세,2,2026-05-31
브라질,15-19세,1,2026-05-31
브라질,20-24세,0,2026-05-31
브라질,25-29세,0,2026-05-31
브라질,30-34세,2,2026-05-31
브라질,35-39세,0,2026-05-31
브라질,40-44세,3,2026-05-31
브라질,45-49세,5,2026-05-31
브라질,50-54세,0,2026-05-31
브라질,55-59세,0,2026-05-31
브라질,60-64세,0,2026-05-31
브라질,65-69세,0,2026-05-31
브라질,70-74세,0,2026-05-31
브라질,75-79세,0,2026-05-31
브라질,80-84세,0,2026-05-31
브라질,85-89세,0,2026-05-31
브라질,90-94세,0,2026-05-31
세네갈,0-4세,0,2026-05-31
세네갈,05-09세,0,2026-05-31
세네갈,10-14세,0,2026-05-31
세네갈,15-19세,0,2026-05-31
세네갈,20-24세,0,2026-05-31
세네갈,25-29세,0,2026-05-31
세네갈,30-34세,0,2026-05-31
세네갈,35-39세,2,2026-05-31
